channel_name,channel_id,title_found,subscribers,link,thumbnail
Alphablocks,UC_qs3c0ehDvZkbiEbOj6Drg,Alphablocks,@officialalphablocks,https://www.youtube.com/channel/UC_qs3c0ehDvZkbiEbOj6Drg,https://yt3.ggpht.com/4hW2cvLDW8yX5v3O_PzzyfHhQ0MCv_URg_OFOdElQ0jJ-BmiS0zXMUwikr-D1WMkC2taQO-S=s88-c-k-c0x00ffffff-no-rj-mo
Blippi,UCTHDPeOUn0xGxsKv6j_-oZQ,Blippi Plays - Video Games for Kids,@BlippiRoblox,https://www.youtube.com/channel/UCTHDPeOUn0xGxsKv6j_-oZQ,https://yt3.ggpht.com/tJXhBauN4eajNWzqmCxxm6o1sOIxuBmJaT-rT8lY-tyHRt5ll3aaJhaSFoR3uxBD1W9UncgzXEw=s88-c-k-c0x00ffffff-no-rj-mo
Crash Course Kids,UCONtPx56PSebXJOxbFv-2jQ,Crash Course Kids,@crashcoursekids,https://www.youtube.com/channel/UCONtPx56PSebXJOxbFv-2jQ,https://yt3.ggpht.com/mDXMqPIcDc_yfAqXGvBu0ufz7J3AJVlcstUxXs_y1yh34pf34wDy96qKGM4HEE_l_fzNeqpP=s88-c-k-c0x00ffffff-no-rj-mo
Fun Arabic,UC18sdBGHRZZS7X78Im8FiGQ,Fun Arabic,@ranyasadek,https://www.youtube.com/channel/UC18sdBGHRZZS7X78Im8FiGQ,https://yt3.ggpht.com/AhqFQ0MSu29yx2cafmqDR-vnG_gqZAL0aY2SFZKK1KyppNpcN2DYepJeGBvI9W3wPNBwen87VA=s88-c-k-c0x00ffffff-no-rj-mo
Homeschool Pop,UCfPyVJEBD7Di1YYjTdS2v8g,Homeschool Pop,@HomeschoolPop,https://www.youtube.com/channel/UCfPyVJEBD7Di1YYjTdS2v8g,https://yt3.ggpht.com/yENC7nbCi2IqwCeDy8T7Kzpcubxt-iz_yR69dlKGXvwufaEJIbk7iYYseVAqMAAoLNrs4hjR=s88-c-k-c0x00ffffff-no-rj-mo
Kanz Kids,UCnjXH6GtB7-ji-9kxEiS23Q,Kanz Kids,@sarahkanz6817,https://www.youtube.com/channel/UCnjXH6GtB7-ji-9kxEiS23Q,https://yt3.ggpht.com/72gJfi42LMUYAzjBDGxYye3SrSvQcLKko6JrGCHGbBEUtqtPk6jf1QBs_arTDEqxNJgryX5_6g=s88-c-k-c0x00ffffff-no-rj-mo
Khan Academy Kids,UC2ri4rEb8abnNwXvTjg5ARw,Khan Academy Kids,@KhanAcademyKids,https://www.youtube.com/channel/UC2ri4rEb8abnNwXvTjg5ARw,https://yt3.ggpht.com/f_T8ywDCvkxWrdibQpRVR2mg0OZokebRXd07TR9ds2XbbWgB3SmzGzuxD4lN1Z9hjPhc2xgrjQ=s88-c-k-c0x00ffffff-no-rj-mo
Ms Bianca,UC9JnoGbrFrsnDXgpnX6ibnw,Ms bianca - kids Arabic learning videos,@msbianca-toddlerlearningvi2171,https://www.youtube.com/channel/UC9JnoGbrFrsnDXgpnX6ibnw,https://yt3.ggpht.com/Ckixshm2wbSDmMaiG61UqjCQ2Kp3UNyiISpLXhLYGsSk6j6uXjEa6QylTNTombT0x_S3Kk6qjA=s88-c-k-c0x00ffffff-no-rj-mo
Mystery Science,UCPRCRM3JKm3sw55lB_427qg,Mystery Science,@MysterySci,https://www.youtube.com/channel/UCPRCRM3JKm3sw55lB_427qg,https://yt3.ggpht.com/qB6RGkkW-zkiAOh86-46eGk3pGpDp00OYghO-yUtzvMeQYholZ94V-KfbCsQd8SwnAEb5KnLrg=s88-c-k-c0x00ffffff-no-rj-mo
National Geographic Kids,UCXVCgDuD_QCkI7gTKU7-tpg,Nat Geo Kids,@natgeokids,https://www.youtube.com/channel/UCXVCgDuD_QCkI7gTKU7-tpg,https://yt3.ggpht.com/GsBWcfJJbCKMQ-ndyaeLPqIwfqvU2dughQEl0eGRP8MfvML-HIl5HK_vamdjOWzbvMSLdLINGA=s88-c-k-c0x00ffffff-no-rj-mo
