channel_name,channel_id,title_found,subscribers,link,thumbnail
Charli’s Crafty Kitchen,UCUnnGGb3SoU1nQ6iPYMCWNg,Charliscraftykitchen,@charliscraftykitchen6467,https://www.youtube.com/channel/UCUnnGGb3SoU1nQ6iPYMCWNg,https://yt3.googleusercontent.com/ytc/AIdro_laLCGNeh9muEbKvxe7xMKpuKqdGRWGSjIWuNEykYEJ0w=s88-c-k-c0x00ffffff-no-rj-mo
Chef Osama (أسامة السيد),UCj7sSg9v-O_iUGVQQ6yh72Q,Chef Osama,@ChefOsamaElSayed,https://www.youtube.com/channel/UCj7sSg9v-O_iUGVQQ6yh72Q,https://yt3.googleusercontent.com/ytc/AIdro_l4mBq0PVvE-PfS5qCbFNot4vKdDVkoTaLlbCXweRDoCPs=s88-c-k-c0x00ffffff-no-rj-mo
Chef Taheri,UCx6J6D24mPhWyyq2aPNw4yw,Chef Taheri,@ChefTaheri,https://www.youtube.com/channel/UCx6J6D24mPhWyyq2aPNw4yw,https://yt3.googleusercontent.com/ytc/AIdro_nunuRVxpaYA4QB_0Ish7DPkFZ_agBTYaocH3xjCioYWw=s88-c-k-c0x00ffffff-no-rj-mo
Cook with Amber,UCPSaPk7kfcEJ7QZG61XahEA,Amber Kelley,@AmberKelley,https://www.youtube.com/channel/UCPSaPk7kfcEJ7QZG61XahEA,https://yt3.googleusercontent.com/ytc/AIdro_m5bDrX5fOxAA9NpOPXyih7apFQ6VEFkS3sekk026FrTpFj=s88-c-k-c0x00ffffff-no-rj-mo
Cooking with Alia,UCB8yzUOYzM30kGjwc97_Fvw,cookingwithalia,@cookingwithalia,https://www.youtube.com/channel/UCB8yzUOYzM30kGjwc97_Fvw,https://yt3.ggpht.com/s3-T2rday0waUGRMsWdPKuWa6HbqcxnM5AFOwPMzIyH5bQY1ChzXp-TiQTNdrRAcAiN9j8qh=s88-c-k-c0x00ffffff-no-rj-mo
Creativethink الطبخ العربي (الشيف زينب),UC_nnH7SA4RhXceAIDP6TRZw,Creativethink الطبخ العربي,@al-tabkh-alarabi,https://www.youtube.com/channel/UC_nnH7SA4RhXceAIDP6TRZw,https://yt3.googleusercontent.com/ytc/AIdro_nTWyWRyGmf3dDjicA8SPeyb-0cyQ4v5lm6O_UUh6x_s2E=s88-c-k-c0x00ffffff-no-rj-mo
Food Fusion Kids,UCqpsITAmYlQttezQ7puHwNQ,Food Fusion Kids,@FoodFusionKids,https://www.youtube.com/channel/UCqpsITAmYlQttezQ7puHwNQ,https://yt3.googleusercontent.com/ytc/AIdro_nCIH1Rh3MJ10q4AqEpMogzq0NpzEYjU-fId6gXuj5YbQ=s88-c-k-c0x00ffffff-no-rj-mo
GlowWoW Extra Arabic,UCRQ9JDaPPW6vhT31yE0wsCA,GlowWoW Extra Arabic,@GlowWoWExtraArabic,https://www.youtube.com/channel/UCRQ9JDaPPW6vhT31yE0wsCA,https://yt3.ggpht.com/HLKV8S29ExL2AvN1FEzqCae_PwRNAXqFQB8gP-D9nBjYi3U7S7Oiw2KFOmajEdIOrJA909AH8w=s88-c-k-c0x00ffffff-no-rj-mo
HooplaKidz Recipes,UC-vObULK1w635bdFQpNlbQA,Hoopla Recipes - Official Cakes Channel,@HooplaRecipes,https://www.youtube.com/channel/UC-vObULK1w635bdFQpNlbQA,https://yt3.ggpht.com/H1TdT2WKfY-xWQFPPrfuaFx8Ff--KjWUThSSq7mTGjtDCBZP_rzHhwH59wnmdy5Lo5Ksau3FtXA=s88-c-k-c0x00ffffff-no-rj-mo
Kids Cook Real Food,UCT1B3Tb7Bit_S7EWkhSba4A,Katie Kimball (Kids Cook Real Food),@KatieKimball,https://www.youtube.com/channel/UCT1B3Tb7Bit_S7EWkhSba4A,https://yt3.ggpht.com/YNkF3ZgU7HOLwc-BnlI7fpQaIjCcpYmECv7ySTLWexuup29syRe8xRDtMbTWQe3OdnaUrXy_G7I=s88-c-k-c0x00ffffff-no-rj-mo
Kids Cooking and Crafts,UC1W4T2HfKVCJM4ICOjzxoBg,Sunny Side Up,@KidsCookingandCrafts,https://www.youtube.com/channel/UC1W4T2HfKVCJM4ICOjzxoBg,https://yt3.googleusercontent.com/ytc/AIdro_ne9xb7f9tW7YwvCFdQB-Q_PrE3Gd4eV4PJa3q4x6TjY3I=s88-c-k-c0x00ffffff-no-rj-mo
Lil’Loop Arabic,UCVAHHxJctgVm6aWu4Yj2ipQ,Lil’Loop Arabic ,@LilLoopArabic,https://www.youtube.com/channel/UCVAHHxJctgVm6aWu4Yj2ipQ,https://yt3.ggpht.com/EXlRKS2K9TJ2YEePO5EXmxL_ev_YyIuIa2mr0ohE6Zfb52ImiX7NoP1j3WNhxYs8g-s-muiw=s88-c-k-c0x00ffffff-no-rj-mo
